# This file contains links between UNL UWs and Hindi Wordnet
# UW	Relation	POS	Words(weight)	SynsetID
#
advance(icl>sum>thing)	Direct	n	4(4),3(4),1(6)	2413
advancement(icl>development>thing)	Direct	n	1(7),5(6)	3019
advantageous(icl>adj,ant>disadvantageous)	Direct	a	16(4),3(4),4(4),1(7),2(4),12(4)	1130
adventurous(icl>adj,ant>unadventurous)	Direct	a	2(4)	20664
adverb(icl>major_form_class>thing)	Direct	n	2(4)	11903
adversary(icl>person>thing)	Direct	n	2(4)	218
advert(icl>think_of>do,equ>mention,agt>thing)	Direct	v	1(2)	28217
advertised(icl>adj)	Direct	a	1(4)	33911
advertisement(icl>promotion>thing,agt>person,obj>thing)	Direct	n	2(3),2(3)	6946
advertising(icl>promotion>thing,equ>ad)	Direct	n	1(4),1(4)	875
advice(icl>proposal>thing)	Direct	n	2(6),5(4),1(7)	38566
advise(icl>counsel>do,agt>person,obj>uw,ben>person)	Direct	v	1(4)	13371
adviser(icl>authority>thing)	Hypernymy	n	1(2),1(2),2(2),2(2)	14126
adviser(icl>authority>thing)	Direct	n	2(4),1(2)	6101
advocacy(icl>support>thing)	Direct	n	1(5)	10011
advocacy(icl>support>thing)	Direct	n	1(5)	25513
adynamia(icl>weakness>thing)	Direct	n	2(6)	38111
adze(icl>edge_tool>thing,equ>adz)	Direct	n	1(2),1(2)	7436
aerial(icl>electrical_device>thing,equ>antenna)	Direct	n	9(2)	27533
aerodynamic(icl>adj,com>aerodynamics)	Direct	a	1(4)	27811
aerodynamic(icl>adj,equ>streamlined)	Direct	a	1(2)	27812
aerodynamics(icl>mechanics>thing,equ>aeromechanics)	Direct	n	1(4)	27810
aeromechanics(icl>mechanics>thing)	Direct	n	1(4)	27810
aeroplane(icl>heavier-than-air_craft>thing,equ>airplane)	Direct	n	4(2),3(2)	5552
aesthetic(icl>adj)	Direct	a	2(2)	30182
aesthetic(icl>adj,ant>inaesthetic)	Direct	a	3(2),3(2)	10673
aesthetic(icl>philosophical_doctrine>thing)	Direct	n	1(4)	28261
aesthetics(icl>philosophy>thing)	Direct	n	1(4)	10674
afebrile(icl>adj,ant>febrile,com>fever)	Direct	a	1(2)	36325
affable(icl>adj)	Direct	a	1(5)	1168
affair(icl>concern>thing,equ>matter)	Direct	n	1(4)	12014
affected(icl>adj,equ>moved,ant>unmoved)	Direct	a	3(2)	23407
affection(icl>feeling>thing)	Direct	n	4(5),1(4)	121
affection(icl>feeling>thing)	Direct	n	5(4),18(4)	2514
affection(icl>feeling>thing)	Hypernymy	n	1(2)	2554
affectionate(icl>adj)	Direct	a	1(4)	1356
affectionateness(icl>feeling>thing,equ>affection)	Direct	n	1(4)	121
affectionateness(icl>feeling>thing,equ>affection)	Hypernymy	n	1(2)	2554
affiance(icl>vow>do,equ>betroth,agt>person,obj>thing,rec>person)	Direct	v	1(2)	12230
affidavit(icl>testimony>thing)	Direct	n	2(2),1(2),3(2)	10665
affiliated(icl>adj)	Direct	a	3(2)	3349
affirmative(icl>adj,ant>negative)	Direct	a	3(2),1(4)	10615
affixation(icl>combination>thing,equ>attachment)	Direct	n	1(2)	11058
affluence(icl>wealth>thing)	Direct	n	1(4)	25446
affluent(icl>branch>thing,equ>feeder)	Hypernymy	n	3(2),1(2),2(2)	11538
affluent(icl>branch>thing,equ>feeder)	Hypernymy	n	2(2),3(2),1(2)	23312
affluent(icl>branch>thing,equ>feeder)	Hypernymy	n	1(2),2(2)	24180
affluent(icl>branch>thing,equ>feeder)	Hypernymy	n	2(2),1(2)	26535
affluent(icl>branch>thing,equ>feeder)	Hypernymy	n	3(2),2(2),1(2)	26561
affluent(icl>branch>thing,equ>feeder)	Direct	n	1(2)	30975
affluent(icl>branch>thing,equ>feeder)	Hypernymy	n	1(2),2(2),3(2)	32912
affluent(icl>branch>thing,equ>feeder)	Hypernymy	n	2(2),1(2),3(2)	39328
